time,D1,D2,D3,D4,D5,D6,D7,D8,D9
1,0,0,0,31,126.8,136.1,34,30.9,0
2,0,0,0,30.2,154.7,164.2,26.1,23.5,0
3,0,0,0,9.6,102,70.7,23.2,19.1,0
4,0,0,0,17.7,127.1,82.9,26.3,20,0
5,0,0,0,47,155.1,65.3,17.3,25.1,0
6,0,0,0,23.6,135.3,138.9,32.9,32.3,0
7,0,0,0,38.3,229.5,217.5,55.1,51.3,0
8,0,0,0,51.1,336.3,141.5,68.2,77.5,0
9,0,0,0,71.3,415.2,139.5,64.2,117.3,0
10,0,0,0,49.7,434.7,129.9,63.3,132.9,0
11,0,0,0,52.6,416.5,127,56.1,126.6,0
12,0,0,0,61.4,408.1,104.3,63.3,117.5,0
13,0,0,0,62.1,384.8,76.5,54,109.7,0
14,0,0,0,71,370.4,122.7,48.5,99.4,0
15,0,0,0,42.9,339.5,104,51.5,89,0
16,0,0,0,41.7,311.3,156.7,54.2,80.3,0
17,0,0,0,42.4,312.2,141.4,61.5,86.8,0
18,0,0,0,86.5,330,78.2,64.4,83.5,0
19,0,0,0,55.8,356.4,121.1,62.1,95.7,0
20,0,0,0,63.2,412.2,110.5,70.4,106.2,0
21,0,0,0,54.8,382.7,101.6,67.1,100.8,0
22,0,0,0,50,329.3,112.8,53.4,90.3,0
23,0,0,0,26.5,245.7,137.2,34.8,69,0
24,0,0,0,42.8,196.9,49.8,32.3,45.3,0
25,0,0,0,31,126.8,136.1,34,30.9,0
26,0,0,0,30.2,154.7,164.2,26.1,23.5,0
27,0,0,0,9.6,102,70.7,23.2,19.1,0
28,0,0,0,17.7,127.1,82.9,26.3,20,0
29,0,0,0,47,155.1,65.3,17.3,25.1,0
30,0,0,0,23.6,135.3,138.9,32.9,32.3,0
31,0,0,0,38.3,229.5,217.5,55.1,51.3,0
32,0,0,0,51.1,336.3,141.5,68.2,77.5,0
33,0,0,0,71.3,415.2,139.5,64.2,117.3,0
34,0,0,0,49.7,434.7,129.9,63.3,132.9,0
35,0,0,0,52.6,416.5,127,56.1,126.6,0
36,0,0,0,61.4,408.1,104.3,63.3,117.5,0
37,0,0,0,62.1,384.8,76.5,54,109.7,0
38,0,0,0,71,370.4,122.7,48.5,99.4,0
39,0,0,0,42.9,339.5,104,51.5,89,0
40,0,0,0,41.7,311.3,156.7,54.2,80.3,0
41,0,0,0,42.4,312.2,141.4,61.5,86.8,0
42,0,0,0,86.5,330,78.2,64.4,83.5,0
43,0,0,0,55.8,356.4,121.1,62.1,95.7,0
44,0,0,0,63.2,412.2,110.5,70.4,106.2,0
45,0,0,0,54.8,382.7,101.6,67.1,100.8,0
46,0,0,0,50,329.3,112.8,53.4,90.3,0
47,0,0,0,26.5,245.7,137.2,34.8,69,0
48,0,0,0,42.8,196.9,49.8,32.3,45.3,0
