time,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0,0,0,0.123,0.101,0.042,0.074,0.136,0
1,0,0,0,0.123,0.081,0.051,0.146,0.170,0
2,0,0,0,0.302,0.128,0.093,0.142,0.225,0
3,0,0,0,0.243,0.083,0.088,0.110,0.215,0
4,0,0,0,0.072,0.083,0.109,0.185,0.187,0
5,0,0,0,0.165,0.142,0.072,0.125,0.164,0
6,0,0,0,0.125,0.062,0.051,0.096,0.115,0
7,0,0,0,0.121,0.068,0.085,0.056,0.083,0
8,0,0,0,0.083,0.048,0.064,0.076,0.055,0
9,0,0,0,0.111,0.047,0.077,0.077,0.050,0
10,0,0,0,0.106,0.040,0.074,0.071,0.054,0
11,0,0,0,0.085,0.063,0.105,0.066,0.060,0
12,0,0,0,0.114,0.045,0.144,0.109,0.065,0
13,0,0,0,0.103,0.072,0.090,0.091,0.074,0
14,0,0,0,0.145,0.060,0.125,0.120,0.084,0
15,0,0,0,0.146,0.065,0.096,0.092,0.091,0
16,0,0,0,0.156,0.076,0.078,0.070,0.082,0
17,0,0,0,0.076,0.073,0.153,0.062,0.078,0
18,0,0,0,0.106,0.051,0.082,0.064,0.061,0
19,0,0,0,0.076,0.039,0.064,0.053,0.049,0
20,0,0,0,0.058,0.042,0.072,0.066,0.048,0
21,0,0,0,0.090,0.035,0.077,0.079,0.049,0
22,0,0,0,0.155,0.068,0.050,0.109,0.055,0
23,0,0,0,0.100,0.054,0.165,0.111,0.071,0
