,uset,omega,sigma,nom,wc
0,inf,1,0.0,1905.8829999999998,1905.8829999999998
1,inf,1,0.05,1909.4315433367817,2103.50641938123
2,inf,1,0.1,1918.097286673563,
3,inf,1,0.15,1930.5155854898426,
4,inf,1,0.2,1944.7923806531228,
5,inf,1,0.25,1959.2013089648517,
6,inf,2,0.0,1905.8829999999998,1905.8829999999998
7,inf,2,0.05,1918.0972866735633,
8,inf,2,0.1,1944.7923806531226,
9,inf,2,0.15,1976.3730107578228,
10,inf,2,0.2,2014.0999514839614,
11,inf,2,0.25,2079.2575589118733,
12,inf,3,0.0,1905.8829999999998,1905.8829999999998
13,inf,3,0.05,1930.5155854898424,
14,inf,3,0.1,1976.3730107578224,
15,inf,3,0.15,2042.3986954194565,
16,inf,3,0.2,2202.405646663154,
17,inf,3,0.25,,
