,cost
0,1902.4806249301055
1,1898.5114388062289
2,1913.3379737612324
3,1907.3928596910546
4,1912.7375049295176
5,1907.0608080214456
6,1917.3914880534646
7,1914.8020822587837
8,1925.8296964300991
9,1905.671036531018
10,1911.0614043375087
11,1911.5199027744413
12,1918.2066696160887
13,1922.561183989138
14,1903.1533131720325
15,1923.8948852777203
16,1911.81931910381
17,1926.5609456568316
18,1900.917703303378
19,1910.0124856102072
20,1910.8267339516012
21,1897.012025498822
22,1901.323194384281
23,1908.8793174078826
24,1914.7401451033227
25,1925.708516674938
26,1898.3556614672636
27,1912.2746520771673
28,1912.0678151301422
29,1908.790357726317
30,1907.2263761048864
31,1913.780830542923
32,1915.4596148845028
33,1911.8320611070158
34,1913.9241378303143
35,1915.8383155938866
36,1924.2466633416777
37,1929.0638052825734
38,1912.0795560119277
39,1911.3915266462966
40,1902.777438077028
41,1918.1083268499997
42,1925.6340101347098
43,1922.6065278502456
44,1904.3594556979947
45,1916.1451195301684
46,1930.6750442575753
47,1916.2237149015632
48,1925.5013461082071
49,1898.8525005900397
50,1909.8859155402731
51,1920.5671883393136
52,1911.4559713728295
53,1907.9251010981889
54,1917.0463152705215
55,1914.4738086728462
56,1894.5591794237816
57,1923.1649029223465
58,1921.118666506299
59,1915.8444527043155
60,1925.581051224993
61,1912.4186758570452
62,1928.9782368960236
63,1916.6542161168738
64,1910.6627236243917
65,1899.9114252587683
66,1904.5990920671481
67,1922.5731748393105
68,1924.756068847158
69,1915.8624196579328
70,1915.1757427416062
71,1916.3302129837593
72,1914.4794815694934
73,1922.3327184156706
74,1899.4279976735993
75,1899.804645432343
76,1908.3479605482123
77,1917.7420751039338
78,1910.1056308042444
79,1915.0589503806245
80,1914.521132291015
81,1920.7294884512326
82,1914.3673714005392
83,1902.082066846499
84,1913.324701605671
85,1903.8950451836838
86,1908.6557919860722
87,1910.528915545116
88,1916.0860446362894
89,1906.1860540465775
90,1913.8538860104309
91,1910.4719085912213
92,1913.0538712313246
93,1907.2861005625464
94,1905.7802762205306
95,1915.7713795334143
96,1928.9610370228397
97,1912.5052508797294
98,1904.123977297445
99,1890.59609387001
100,1919.3833670280662
101,1911.3049808565972
102,1917.0125328454444
103,1910.7527788090101
104,1910.8790482472923
105,1915.8362564057331
106,1907.984045427837
107,1925.644590563178
108,1899.2640973696086
109,1926.774690235696
110,1911.480169037707
111,1902.8538462053957
112,1934.3226513056877
113,1927.107849087763
114,1913.6887614080993
115,1902.0342274271115
116,1900.1745167833192
117,1916.7329113294122
118,1911.1546984815325
119,1901.8090231940173
120,1907.5992824286468
121,1918.3967223668321
122,1910.4906474533109
123,1906.555325347091
124,1918.0061870031684
125,1897.0698905691422
126,1899.4460014847946
127,1905.5279272391174
128,1911.0140276910788
129,1909.359865898915
130,1908.0017008053721
131,1892.1469599004809
132,1909.5108719498623
133,1919.238090133542
134,1906.2191472735094
135,1917.8084470110648
136,1916.9254590737942
137,1912.2422917059196
138,1918.8208375612076
139,1913.5001367919672
140,1905.9528627515356
141,1919.413906718377
142,1915.167485144797
143,1906.3834476470886
144,1909.423915651921
145,1909.9095268762826
146,1904.1444330864122
147,1922.2702944375735
148,1916.6592060304763
149,1918.3953727995574
150,1909.5818101563184
151,1908.6116959903788
152,1918.5565040140207
153,1926.8302892594402
154,1914.0810128314906
155,1899.3492562084466
156,1908.1279806449718
157,1892.630422941491
158,1892.057146618798
159,1908.3773534950205
160,1903.37260979508
161,1901.4043675172434
162,1919.6401197604243
163,1917.7815288639526
164,1911.8929148025447
165,1926.9680944544496
166,1894.20206148863
167,1904.1995538531573
168,1914.161565059611
169,1904.7711256407595
170,1916.9724475129983
171,1906.588773507748
172,1915.5684082749547
173,1902.9542229670703
174,1904.037422881278
175,1895.7613204244205
176,1909.9579211009689
177,1914.4860852532536
178,1909.4702861630449
179,1895.1753089493923
180,1913.8128876687247
181,1906.3601946926196
182,1903.2446929007972
183,1911.5292448913506
184,1893.8516296324947
185,1914.3901018301938
186,1915.7253685346843
187,1901.9272563104123
188,1917.2494554879697
189,1915.962069549297
190,1909.5961826029793
191,1919.6953176028305
192,1909.4493422912499
193,1904.3187939562213
194,1911.0142610523512
195,1907.6257579622995
196,1924.972596274774
197,1916.651687078554
198,1907.25166738521
199,1895.3741297673782
200,1905.7392399686446
201,1908.2810040917498
202,1914.6071999794226
203,1909.5610876260835
204,1908.655508336283
205,1919.792684733985
206,1915.739850617822
207,1909.772856921304
208,1913.4432854707009
209,1919.5737485016534
210,1907.2188081231131
211,1920.4052706747789
212,1909.1244434200726
213,1906.9040280255938
214,1921.7856230816199
215,1899.8573032392276
216,1912.8769445345151
217,1916.0750821000208
218,1907.8673603688067
219,1916.661291139115
220,1922.7724371711056
221,1903.491314764348
222,1897.793786284857
223,1901.5143176987183
224,1903.5854773407864
225,1899.779756951987
226,1905.6995735024047
227,1910.65193279748
228,1916.7113936159317
229,1904.1620797795028
230,1920.6961131157111
231,1915.1843274679695
232,1911.5061324074893
233,1913.4778091765545
234,1914.5668606938266
235,1914.4598932368658
236,1913.6803029161501
237,1903.6108265106188
238,1900.994939908357
239,1900.083312817799
240,1907.3708902425292
241,1912.0646922422243
242,1909.4067981815078
243,1894.9401727570262
244,1893.4207045817789
245,1894.4752113068866
246,1905.1280802785197
247,1912.7366660897853
248,1923.8168550910252
249,1923.8005113028717
250,1917.9588376557904
251,1909.935099860776
252,1931.0795163197743
253,1912.5719851773504
254,1906.90374183724
255,1912.4425520740058
256,1904.9898154511716
257,1915.0052187889123
258,1904.5397079919715
259,1909.2572962581985
260,1913.4041137550087
261,1911.2819701807778
262,1909.0981547463962
263,1919.2381657466944
264,1904.794715161062
265,1921.4609732249055
266,1903.8848866091632
267,1907.5910465291438
268,1889.0577758279135
269,1896.6740415845316
270,1917.7203930962405
271,1915.5113892170252
272,1899.844574990638
273,1928.448623954722
274,1903.2687237905059
275,1916.2035252030532
276,1900.3147477273442
277,1907.7991715468036
278,1903.7306178376325
279,1917.6926975354336
280,1913.9826074284758
281,1910.1596431489968
282,1914.263735542698
283,1902.20722013815
284,1899.7936234233425
285,1919.3850476425625
286,1895.6893126615373
287,1901.8176005010337
288,1903.4849354397236
289,1910.1747077852478
290,1925.564965049775
291,1919.9591384526918
292,1917.8547289366827
293,1902.500003974875
294,1919.9949072095342
295,1908.857773511745
296,1905.586285379116
297,1904.4053365544187
298,1910.3788413338634
299,1912.410622681992
300,1911.6799532404932
301,1909.8151237121676
302,1924.1517742466688
303,1918.12246232574
304,1896.1300590535072
305,1928.2421507929625
306,1918.479489440429
307,1917.5280071988202
308,1914.666317465394
309,1894.507645989181
310,1909.7711094202882
311,1917.2982574301452
312,1906.899970759484
313,1902.662471792783
314,1919.6800614165663
315,1896.6290987882821
316,1904.7346587083166
317,1908.5086705376834
318,1907.289745251478
319,1901.511751297063
320,1923.9662243375667
321,1909.3917871724268
322,1926.3089714288142
323,1925.89335176599
324,1911.4647305094893
325,1909.1966554148826
326,1915.4163487996689
327,1903.1827997974954
328,1914.662070113303
329,1911.9673468821634
330,1918.7653215106584
331,1924.0607305470505
332,1912.4218827908737
333,1933.4429074483674
334,1899.425917506107
335,1898.488808500571
336,1911.598523459026
337,1902.4475925164913
338,1907.4451109365816
339,1905.290450179662
340,1923.2550515089229
341,1919.034796566753
342,1907.7710105533865
343,1911.9229768516482
344,1909.2779690105467
345,1925.8055399371547
346,1917.0041031942983
347,1911.1706824899247
348,1916.4424046655724
349,1915.0381518171853
350,1909.2969323454543
351,1909.9255102500892
352,1904.5808991007416
353,1912.0929726517834
354,1918.201071481666
355,1913.2463107208937
356,1922.258087391207
357,1903.1420657791946
358,1914.9355669646363
359,1916.8925345526686
360,1912.2181378544515
361,1915.557807848414
362,1923.9267207898092
363,1916.8256465733234
364,1917.2869128895672
365,1920.7734330629066
366,1899.6729623231658
367,1915.9684786205335
368,1907.067423144672
369,1899.5680903793482
370,1908.5843711440393
371,1908.79918000509
372,1918.0581847745245
373,1914.1831461241857
374,1924.0676505645326
375,1900.9661486821142
376,1914.9686269481301
377,1907.7887998100498
378,1925.161190856148
379,1929.1821555967915
380,1914.8503063485696
381,1919.091007762478
382,1905.5778352086581
383,1902.5617724159742
384,1899.6603958117257
385,1904.627318760749
386,1906.1216923823044
387,1915.8490050944347
388,1903.5114879409603
389,1917.347084264236
390,1904.9006549233682
391,1918.7696601107175
392,1914.1109190346324
393,1901.6136589101645
394,1910.0264039597835
395,1914.2594997101326
396,1923.379422983737
397,1910.8827174300052
398,1912.1499227846166
399,1908.8986633196473
400,1903.5645243801819
401,1909.9709329785155
402,1920.9229164955648
403,1903.6774031106152
404,1907.2871247864703
405,1907.765970828487
406,1906.9940060962003
407,1906.3775069319265
408,1911.7217417938732
409,1901.1871439295842
410,1908.3718269918106
411,1912.4076545880323
412,1923.4623269041788
413,1907.0433770534548
414,1909.3929947730278
415,1913.0413181271983
416,1904.1100734889144
417,1926.1063866941677
418,1907.9834645165104
419,1907.238938654572
420,1910.181810198495
421,1911.2436787337297
422,1892.6418262816935
423,1908.7773249690163
424,1925.1739779445784
425,1905.765368252629
426,1907.8293692549987
427,1915.6158576581124
428,1915.1092159247887
429,1915.2409698817505
430,1911.6279619875786
431,1910.5312580567202
432,1916.338850846619
433,1913.5704881377821
434,1916.105565722108
435,1909.4451689420687
436,1918.245151258882
437,1908.095395283298
438,1906.9018531669121
439,1899.0174793413375
440,1908.4439394216195
441,1913.5998340549072
442,1927.5626418863553
443,1902.856993785504
444,1913.6408924235943
445,1914.0424080926105
446,1903.938475557103
447,1892.098733702068
448,1927.086054243646
449,1904.722770835662
450,1907.6295859433558
451,1900.9636252886717
452,1904.3495331269362
453,1913.1910160787934
454,1889.9803514385826
455,1902.80988136262
456,1905.4049705546458
457,1922.0376286344037
458,1912.2975054232727
459,1909.0044635224554
460,1910.3649456390306
461,1914.075406139056
462,1899.4133578661706
463,1917.4910778706442
464,1903.3853996021292
465,1915.7202414930848
466,1909.6418345350428
467,1917.8086561085872
468,1919.3004904166814
469,1919.2518381180266
470,1908.0922934677765
471,1903.577042298202
472,1914.7613097483654
473,1916.7748445413883
474,1902.9196731341626
475,1907.3102810598764
476,1894.278563003331
477,1918.932180080104
478,1900.2832678163034
479,1926.0099489232762
480,1915.0037817641032
481,1914.2703786236743
482,1912.3480457266555
483,1907.7436817396626
484,1931.5764565234765
485,1920.4818267985413
486,1897.2701047455466
487,1915.0036244456246
488,1914.7888501574012
