,cost
0,1807.3040951171604
1,1911.0493656134129
2,1890.0002902284073
3,1974.5818343664694
4,1900.7456853051674
5,1876.9026562196018
6,1972.3418913815872
7,1991.8260374902018
8,2010.976524287672
9,1850.9544187364504
10,1863.759561253869
11,1890.0347221820457
12,1953.689837305947
13,1860.4592396974158
14,1893.2423981826187
15,1896.918087895625
16,1894.5570721674756
17,1932.599831855658
18,2005.3273957617607
19,1877.7252442774738
20,1885.297083810209
21,1953.009638003793
22,1937.5143008359219
23,1943.1158341465384
24,1849.3400085394107
25,1989.747931636737
26,1895.5138641454364
27,1901.9741220856467
28,1954.744319687644
29,1933.2718635663464
30,1903.4426141675413
31,1963.2597527092244
32,1870.9235396082327
33,1964.2894705420458
34,1910.6973495969935
35,1945.3447432479172
36,1971.2964621074889
37,1859.286837611223
38,1948.990931957955
39,1927.7569965005237
40,1953.716123811471
41,1895.4841841050707
42,1853.7719441452032
43,1871.7909177479498
44,1875.3219429343394
45,1910.9221683949575
46,1895.1314556689676
47,1944.9653195561143
48,1908.4828447836865
49,1866.6647279715796
50,1911.3397553928494
51,1939.0835216398111
52,1916.4350612015403
53,1982.9969627712608
54,1969.5998682469449
55,1856.50679524284
56,2008.9262617036381
57,1869.267910994102
58,1920.1289556667498
59,1856.6142395500224
60,1949.3014208634715
61,1884.485746385581
62,1851.2812482473519
63,1868.4726421199555
64,1890.0794027276186
65,1839.7057514334376
66,1950.201690272001
67,1945.5830200300757
68,1909.0529237773887
69,1942.5737073730488
70,1993.4989657013416
71,1921.0001721399747
72,1896.4289743869926
73,1987.6586362236903
74,1943.4729067421595
75,1883.3133431512852
76,1999.749378342249
77,1898.4863398494563
78,1854.8064867819844
79,1833.6952621657679
80,1849.8513736155678
81,1914.5091169605016
82,1969.504097762547
83,1815.5536539359864
84,1888.8203461080752
85,1886.1258266234377
86,1877.6556287746503
87,1812.236031948114
88,1942.1520610072898
89,1815.014932363309
90,1905.1511945213947
91,1940.0653727314088
92,1874.547707698815
93,1865.44448399779
94,1938.5031573753872
95,1958.0055477944134
96,1850.1356403563584
97,1913.6976972211378
98,1909.4405530665156
99,1836.200430851439
100,1882.6893219535377
101,1950.3067839324247
102,1976.8973720124684
103,1886.9377985005035
104,1935.8174212848717
105,1927.7050829578775
106,1894.532632851595
107,1880.0864251106682
108,1938.474148405253
109,1923.6903632474105
110,1875.1054758631244
111,1826.4187996960266
112,1838.338221838159
113,1899.7803216263221
114,1885.295783269294
115,1939.7030498420231
116,1926.3084738894343
117,1948.5859923600606
118,1857.2502848722058
119,1832.4936266615232
120,1927.5327968991887
121,1854.143370198522
122,1802.8404566380475
123,1921.1232825381674
124,1961.027406661172
125,1922.8816507981765
126,1918.4060423576066
127,1906.2563573961777
128,1915.7894215170713
129,1866.0893889931792
130,1925.7078616476767
131,1963.8550951662817
132,1931.2392055375449
133,1898.1994520777446
134,1794.6394623870963
135,1907.5587801847169
136,1955.9189578118203
137,1947.3794619595537
138,1881.9276997449322
139,1909.3837441304563
140,1848.3436207660502
141,1882.8996176881303
142,1898.9812998246255
143,1838.7808288383849
144,1852.3462335616248
145,1923.8323372773161
146,1832.4480661695304
147,1926.687262888799
148,1880.241743884899
149,1918.966396397757
150,1910.8483825720343
151,1943.9653837589763
152,1975.2954122930405
153,1954.1556479362655
154,1866.2239926092966
155,1904.4780969290853
156,1889.7671283530142
157,1851.3053372565796
158,1877.7807963503703
159,1884.639559122646
160,1916.2855680157804
161,2000.624929727357
162,1873.9359179239361
163,1877.9669300181456
164,1891.227610792457
165,1959.9285425787823
166,2037.96440935384
167,1872.06601624711
168,1854.1778363649787
169,1895.8719601937405
170,1949.2502214873336
171,1918.8139213534505
172,2008.218698666959
173,1916.9288049418954
174,1894.766105539367
175,1892.6978022600113
176,1934.068683891927
177,1945.441108734293
178,1870.5195124513077
179,1936.3728100672722
180,1952.3832126780856
181,1960.256770198162
182,1975.7386481545839
183,1924.4410430328285
184,1821.2443418776525
185,1903.5756797808276
186,1912.18550827372
187,1893.4604533975391
188,1862.0568897294079
189,2011.7688249077896
190,1961.0079506962024
191,1855.3234224271594
192,1830.3384687083146
193,1905.635200726422
194,1936.6162444128652
195,1906.0616476955647
196,1869.7847369759606
197,1931.1657905135623
198,1903.0531176036413
199,1872.13544079337
200,1902.436506166675
201,1869.8554395262227
202,1899.0061018230676
203,1897.6105549910228
204,1875.3244732513544
205,1923.1053636954002
206,1910.1291097398457
207,1932.1203155434798
208,1998.4866583258035
209,1884.918623889303
210,1909.9369697112843
211,1852.7023625219538
212,1907.8994563381852
213,1932.2467465374746
214,1901.7151881730797
215,1871.001967615123
216,1931.2054742273451
217,1906.297293167291
218,1928.9976774711065
219,1837.2626995928313
220,1925.975186889649
221,1906.3858373407497
222,1939.8456178044808
223,1799.7640440576124
224,1917.1251396605285
225,1852.4589080032797
226,1919.5892358808314
227,1834.9695592148385
228,1917.7003088040226
229,1899.4828877295563
230,1893.0955645539375
231,1924.6289692188466
232,1955.2785699461424
233,1942.6503215668818
234,1960.7103259201879
235,1834.2878733991977
236,1953.928878360303
237,1872.1683035273784
238,1939.8858391770923
239,1979.730035878414
240,1935.6287783537862
241,1883.6406864748953
242,1966.4257930597007
243,1884.9746922953734
244,1891.2084826248008
245,1883.7007822296239
246,1871.8235407546642
247,1866.0248587168626
248,2011.07824845995
249,1887.2319037461623
250,1923.7027985284828
251,1980.3143821305173
252,1938.1496506562094
253,1859.8806079385718
254,1918.149267409511
255,1881.5169760491933
256,1903.8355509404
257,1888.5774639766764
258,1857.3131478334844
259,1948.913055210256
260,1910.1199689565265
261,1819.2336405030217
262,1987.8812142610454
263,1953.47540167026
264,1957.6498860418221
265,1922.9599405741105
266,1903.412976601299
267,1861.0698385940946
268,1856.6661328856544
269,1920.0018433960215
270,1845.8906049882169
271,1989.1109257683047
272,1972.3916979583619
273,1908.8405625701264
274,1911.9575955790156
275,1939.8893566171816
276,1917.845027001902
277,1956.4965915724706
278,1944.5762505941705
279,1882.52594101215
280,1912.6247492248378
281,1935.2820187483924
282,1837.89230548368
283,1931.4274917037803
284,2068.7231402727957
285,1854.9545727464897
286,1857.120865759079
287,1933.3355787705173
288,1980.1893502468624
289,1866.2527425336582
290,1963.9297331700645
291,1927.6375747206225
292,1888.5353088695156
293,1893.295954651867
294,1908.4477705112986
295,1879.8618393728602
296,1957.7092530997527
297,1891.1831367787418
298,1878.6229334873178
299,1963.2525761293793
300,1915.977188848391
301,1841.2023821141709
302,1947.9154251169737
303,1825.8874497562144
304,1950.9552480031389
305,1917.9406417687032
306,1931.2819272701722
307,1899.9265501460097
308,1930.0276842856156
309,1983.7141446715914
310,1896.3494308090108
311,1985.8642788149205
312,1945.5052556792361
313,1895.536193113548
314,1898.5281903706493
315,1852.7615735350703
316,2006.6549380067768
317,1941.69366150802
318,1829.9796103306426
319,1834.4778471264724
320,1905.9249344236691
321,1961.4860568100983
322,1914.4618297194697
323,1883.2626979387755
324,1853.3740683460794
325,1891.6245829371965
326,1926.3029245408081
327,1865.159982125269
328,1882.1284394711145
329,1949.3634560771911
330,1881.55181904322
331,1880.4924359261267
332,1969.7028852115936
333,1967.204990299051
334,1868.836039622381
335,1991.0546001218875
336,1877.0102578756737
337,1969.3942554496057
338,1912.3593019567352
339,1856.2915967406066
340,1858.2157635749368
341,1967.9214716442184
342,1937.8665512588752
343,1947.930363615399
344,1905.6943632744144
345,1870.7289426871787
346,1990.953349168146
347,1928.876424148869
348,1892.1417621709552
349,1921.5152470890457
350,1894.5360863323367
351,1850.1866102022398
352,1930.8921793388804
353,1849.5742023292446
354,1911.792256903694
355,1941.4884934489103
356,1837.048897134895
357,1875.415815815291
358,1994.1669057792851
359,1982.4792177919871
360,1963.0650120643181
361,1868.3322017162
362,1864.8053980983673
363,1876.221165721342
364,2008.4472997601833
365,1959.134210750758
366,1854.7234913813293
367,1971.0540838763545
368,1899.2544705379946
369,1949.6364952628562
370,1881.7635567907228
371,1826.2980326631998
372,1843.3177882445489
373,1957.8783884219029
374,1979.1987899684182
375,1882.7590620108692
376,1892.5911111358428
377,1953.136710622942
378,1964.4307867936507
379,1938.6562181032396
380,1866.8267577078718
381,1946.5985938858357
382,1923.6931530812972
383,1937.3583792868885
384,1914.4286568385899
385,1927.6293971796658
386,1908.8873121851539
387,1892.3540136408685
388,1887.179239653394
389,1924.4058116225892
390,1877.6577321827106
391,1978.8743674052153
392,1926.7308119331606
393,1844.5372083584514
394,1812.5632328158622
395,1920.5983088591627
396,1985.9412633628579
397,1868.2980280949528
398,1898.2186627693682
399,2010.9558984152297
400,1979.4263681674674
401,1935.4552847271711
402,1941.723917463998
403,1970.583207486392
404,1859.9919177467982
405,1901.1898607136825
406,1951.0307963180414
407,1881.0834808872282
408,1958.8205956539707
409,1860.722423836888
410,1949.1324335441316
411,2012.2915616354421
412,2032.0039919660403
413,1881.3638148392215
414,1847.6563205257464
415,1889.2587317332566
416,1944.1018057061633
417,1839.4113352885456
418,1909.1254110685911
419,1865.4740603558212
420,1882.479230833954
421,1842.6371467625343
422,1869.8649258471692
423,1932.3354595602616
424,1869.4805072118402
425,1874.1626513226586
426,1842.630298807502
427,1872.8780084355535
428,1879.3373037112142
429,1863.3855473010613
430,1966.6637311859179
431,1907.5419165272021
432,1865.7606016671075
433,1906.5964314214239
434,1910.6931049965178
435,1857.62696223383
436,1952.3729632054901
437,1982.9007664604867
438,1900.5528130409298
439,1940.846037380674
440,1857.1413633557531
441,1882.1663723075958
442,1865.9272947542984
443,1921.855444033773
444,1865.0888565278317
445,1907.0251246193552
446,1964.6541806837376
447,1932.2382341391524
448,1904.9103805752197
449,1904.0168507156889
450,1927.8751014800362
451,1871.6959038003963
452,1960.9898967299707
453,1870.9798401478329
454,1928.5973320681203
455,1960.565339282204
456,1991.267146007307
457,1858.729692602381
458,1868.892936584952
459,1891.2118266752177
460,1879.0698875700998
461,1888.6998838149916
462,1922.9084864663996
463,1809.465780745922
464,1834.2504437533553
465,1852.2084350197483
466,1852.457385605707
467,1900.0386524269202
468,1876.8459706881445
469,1916.899989573431
