,uset,omega,sigma,nom,wc
0,2,1,0.0,1905.8830034964244,1905.8830000566377
1,2,1,0.05,1908.6044254063434,1944.3390269640165
2,2,1,0.1,1911.3250484927817,1985.4955135680748
3,2,1,0.15,1914.6797885985436,2030.4189707452012
4,2,1,0.2,1919.333929323697,2075.342427361298
5,2,1,0.25,1923.9923031623991,2120.265883908882
6,2,2,0.0,1905.884038945965,1905.8830000566377
7,2,2,0.05,1911.325194417071,1985.4955135680748
8,2,2,0.1,1919.3336588960763,2075.342427361298
9,2,2,0.15,1928.6507125484632,2165.1893407927496
10,2,2,0.2,1938.0371024904746,
11,2,2,0.25,1949.7419660832802,
12,2,3,0.0,1905.883099731505,1905.8830000566377
13,2,3,0.05,1914.6792373931276,2030.4189710875849
14,2,3,0.1,1928.6513230445566,2165.1893407169805
15,2,3,0.15,1943.3727285472519,
16,2,3,0.2,1963.187835054553,
17,2,3,0.25,1985.8809526421824,
