,cost
0,1834.2624963591747
1,1903.6119355355286
2,1898.3231094058303
3,1956.0701491510786
4,1908.676225376093
5,1881.8851939028891
6,1969.2712329651645
7,1956.324339152878
8,1992.6142140750694
9,1874.264572350106
10,1863.6386696836712
11,1889.700447178512
12,1954.5408390376435
13,1888.4025976914772
14,1890.0509427297973
15,1894.189160564938
16,1907.741681849913
17,1926.1153632617625
18,2003.1861844008147
19,1885.4803091851138
20,1912.929164769773
21,1948.3792541256294
22,1925.6476757819362
23,1942.8058571451731
24,1852.2548905634924
25,1966.4894965542178
26,1894.4976260745968
27,1907.4213050220696
28,1939.646128819861
29,1942.4598992325775
30,1914.3959818693045
31,1951.9012444312011
32,1860.17389675017
33,1951.119940116561
34,1920.7038679699228
35,1946.3338582135057
36,1963.0636149931727
37,1852.2356706538512
38,1929.048415049648
39,1917.6754854239684
40,1953.057524688743
41,1875.5151950678833
42,1873.3698881862617
43,1883.5233664243367
44,1895.5359848992473
45,1904.4379910570567
46,1890.4964356222724
47,1924.4805675877178
48,1913.4072535809337
49,1832.5293539211928
50,1913.2115142677299
51,1935.9514523255116
52,1920.258259161124
53,1971.1009556483607
54,1959.4735730865352
55,1856.8493232480357
56,2002.1524563189128
57,1863.9499395906162
58,1915.3054286247268
59,1859.1689438556714
60,1943.9388304784338
61,1868.3884493994378
62,1836.084372594828
63,1874.109616342798
64,1896.4245737035214
65,1817.139512678174
66,1941.0954930540477
67,1936.3668333175228
68,1907.5673548121483
69,1929.2070070114544
70,1966.158394590971
71,1908.1117343120832
72,1896.681720445379
73,1966.1845702446162
74,1938.9262130493228
75,1892.6052883824123
76,1984.5229048083575
77,1868.1441498708054
78,1818.3122072357423
79,1860.3542863231066
80,1850.6030035046253
81,1928.345100719432
82,1960.5557276918655
83,1840.026225580824
84,1889.9427200077228
85,1893.7648832279876
86,1878.9361811510505
87,1805.5215755110967
88,1926.7999592627957
89,1821.582314329846
90,1889.6374517237075
91,1918.75555300709
92,1901.4218230228435
93,1857.9827241711362
94,1931.3346214495843
95,1940.508645447334
96,1861.6633508806808
97,1897.4836853421173
98,1923.1005969890823
99,1835.6592633788873
100,1890.7384842024803
101,1931.2394994365247
102,1959.1156408753066
103,1886.6689615250214
104,1928.1407595197124
105,1926.0830075542408
106,1900.1770860430343
107,1866.017857704259
108,1928.833809180792
109,1912.3049412946966
110,1882.6628401990054
111,1843.5595680447504
112,1848.4163129127476
113,1904.314754648866
114,1890.9774913383483
115,1944.3431456672315
116,1920.8374950452223
117,1936.3169352547343
118,1864.5375296026593
119,1843.3204542224767
120,1914.3303056075317
121,1838.5293019609476
122,1817.4867624009655
123,1911.7483103437344
124,1963.07545719051
125,1915.8686273433118
126,1920.1807802008493
127,1913.7294400797775
128,1916.0221173997008
129,1882.7700742292418
130,1914.299617642949
131,1948.718063167286
132,1922.6106535158667
133,1898.08224950954
134,1809.868995291191
135,1924.5170236278975
136,1978.7623205262025
137,1920.3033772417525
138,1882.8837716766268
139,1912.4810208377744
140,1875.5346520664593
141,1876.3606747665547
142,1913.570043255791
143,1854.607810412961
144,1891.4302969611983
145,1939.3834777292143
146,1851.5765211337232
147,1909.8863582898136
148,1873.6770096992502
149,1925.790693002023
150,1913.6509609888226
151,1949.9800469790812
152,1979.2476616030754
153,1957.4432105878238
154,1837.7108925607643
155,1900.8972632756318
156,1887.3994443293668
157,1839.4391164852548
158,1871.4939774686948
159,1874.7304277426113
160,1930.4114493692716
161,1984.843973518311
162,1883.428194141162
163,1862.1164212521844
164,1890.4875044669125
165,1966.7851345509155
166,2014.1111863153978
167,1848.3516750867905
168,1861.6308343339595
169,1890.6795224126674
170,1959.2979931726645
171,1906.6553940812876
172,1985.9825609178386
173,1923.007973799438
174,1907.6086736677844
175,1879.7586116186556
176,1920.138767492687
177,1916.6398212143733
178,1884.1184357286143
179,1927.5747625223607
180,1949.3094309170353
181,1947.0830959658388
182,1959.2237702678678
183,1916.1082669180514
184,1831.0283154897463
185,1888.7277545915993
186,1914.700893888204
187,1875.145252535665
188,1879.6552979309247
189,2010.2932870386196
190,1949.1413839395975
191,1846.0768407491191
192,1847.6890607359915
193,1903.9821158210336
194,1933.3504336722388
195,1908.2857753027624
196,1867.4777462263894
197,1924.7428771426873
198,1913.6676795966791
199,1875.9735686231056
200,1904.9121307772718
201,1869.6932942630847
202,1877.5596337769423
203,1885.5129870199976
204,1859.3991172702513
205,1908.2127221549633
206,1924.3466835302838
207,1913.1115637352013
208,1969.2402454559021
209,1883.3354943622169
210,1896.1208212179617
211,1871.1144144651046
212,1907.4627622576777
213,1921.3058369496382
214,1907.5724248539404
215,1884.2158884026749
216,1925.1763677260524
217,1898.498214080263
218,1913.4702433480306
219,1826.1102671137835
220,1909.9546342931455
221,1897.1931633729916
222,1915.175231238221
223,1793.8008003281248
224,1923.3360740201758
225,1846.1950148680714
226,1914.845366113977
227,1852.5951980663024
228,1934.1796342547582
229,1900.4291980296507
230,1901.6525994115157
231,1928.1058418270281
232,1938.8565834809078
233,1933.4001635527493
234,1949.3182675007902
235,1841.968829229486
236,1948.7871943392468
237,1877.9747609726096
238,1932.5212571523443
239,1986.9808405432282
240,1935.9274621110185
241,1880.980097752211
242,1964.0584713553808
243,1897.3792917767676
244,1903.3833310285665
245,1880.4892546941783
246,1885.449090949258
247,1868.1508179421387
248,1975.2739393402283
249,1895.3697342239766
250,1930.7788619649218
251,1951.2944957694685
252,1935.200661848543
253,1866.8243385907847
254,1925.80673969435
255,1886.8908124203717
256,1895.825335648615
257,1913.7444163717562
258,1874.709820078873
259,1929.1618420776174
260,1900.733541920189
261,1818.0810083099382
262,1974.6278647796817
263,1945.4080626164343
264,1941.2496126637525
265,1918.493126815012
266,1907.9458571249243
267,1865.3521970011188
268,1864.774742255708
269,1934.3488217412967
270,1853.8087095751696
271,1989.8966492467148
272,1957.513300442376
273,1908.7468393925662
274,1914.593582763745
275,1930.0993138353551
276,1931.4331482722218
277,1928.4924548503873
278,1929.9582231603722
279,1878.9614499171241
280,1908.7126788214869
281,1947.4507302541415
282,1826.2928068681422
283,1935.2670874054381
284,2050.7310638164545
285,1874.817952979429
286,1857.618892191837
287,1925.5292101595076
288,1978.075182363363
289,1861.8352596046134
290,1957.6344666225916
291,1925.9968704162072
292,1887.3898697108675
293,1890.0343124283706
294,1902.2046761961228
295,1879.9851674655017
296,1964.806467064025
297,1888.537583204304
298,1883.792786493458
299,1949.9138679082075
300,1909.768563837881
301,1845.6200148351402
302,1944.7468619946367
303,1806.326654643892
304,1961.0360735499257
305,1920.0006826568642
306,1922.917504695238
307,1898.0228339034622
308,1907.7167731781828
309,1970.8618986751196
310,1912.791400216971
311,1962.5273650219146
312,1950.606427992911
313,1899.9469835253237
314,1918.0130952614938
315,1843.403230773061
316,1983.7700602181385
317,1938.3695381724065
318,1840.1275509118047
319,1840.5438664757953
320,1909.1423164940763
321,1951.1186969249507
322,1919.0282526280944
323,1862.0806750002957
324,1865.7085994096194
325,1904.9880957368882
326,1905.4865355964484
327,1857.036000216473
328,1888.991544275399
329,1938.3499472423105
330,1909.9701434155913
331,1886.9535040665285
332,1963.6774723169015
333,1968.0264535739832
334,1869.165125163023
335,1980.514424417493
336,1854.1542346136814
337,1960.011607794047
338,1908.3977495535257
339,1839.7524809759773
340,1832.4327899525078
341,1967.1235353169632
342,1927.7586758354166
343,1944.2087344267843
344,1890.792718537175
345,1891.24841934318
346,1960.8375846785248
347,1905.6694031687664
348,1895.3759291796327
349,1917.7305796425912
350,1900.0026120693003
351,1872.8709063445785
352,1925.7650242300324
353,1846.6316403145868
354,1908.2890184157925
355,1943.712293262889
356,1842.2900787721267
357,1891.2698206988746
358,1976.3555188163496
359,1969.1724808246884
360,1965.326655178095
361,1878.488433411993
362,1822.0262997880054
363,1840.7800799865522
364,1984.524584833575
365,1945.7347167034886
366,1834.7365712788985
367,1962.6016927349026
368,1900.2424512049006
369,1935.777243023872
370,1872.5316250370386
371,1861.3952004751804
372,1830.6227047929729
373,1954.432237923235
374,1987.5627890760784
375,1880.5662019643232
376,1892.597629020311
377,1953.766363822967
378,1956.9220668680875
379,1927.748439595041
380,1854.3262397913948
381,1932.649253157785
382,1907.042291900079
383,1929.1639152113928
384,1927.361346274454
385,1911.9096931920994
386,1911.0413322375227
387,1899.4913052663865
388,1876.3318167100344
389,1911.2623337047892
390,1899.7553132233993
391,1968.5307153078543
392,1928.902674175504
393,1872.7174200365062
394,1874.888285245376
395,1933.3401180150818
396,1969.1507373476363
397,1868.3995534382384
398,1881.3251969079658
399,2009.8870669650048
400,1950.6829080925534
401,1935.98385103244
402,1932.4877183816434
403,1961.1070678337605
404,1880.618379217507
405,1885.353706792032
406,1940.5049526717553
407,1875.6668955252533
408,1951.6397932274836
409,1829.7797193477506
410,1933.845939653254
411,1996.8924414189466
412,2006.5162609831746
413,1888.1653231546964
414,1841.5782560084915
415,1869.4875408331854
416,1934.9180788612791
417,1837.0947378502922
418,1897.7926917623574
419,1879.4049606259239
420,1896.556028475806
421,1831.9453400144234
422,1893.0236510624788
423,1919.5635912490607
424,1880.6012601575549
425,1850.8993325442973
426,1869.0493945463063
427,1882.2051823005127
428,1880.4399410222113
429,1878.890948330174
430,1955.922537685615
431,1908.816894109408
432,1887.2275025851698
433,1907.121068809746
434,1905.529404306517
435,1866.4734630624619
436,1957.1194317587622
437,1959.2997640862457
438,1902.4381664674245
439,1930.9560273821369
440,1857.6017716146002
441,1885.9841255237347
442,1869.3861522514042
443,1905.0810898678571
444,1896.708927533882
445,1916.8580584434444
446,1950.6510601457144
447,1924.8581783773714
448,1900.1794708635996
449,1906.5671512480887
450,1932.6170479319821
451,1871.6222560463752
452,1952.961291076601
453,1888.7669943373064
454,1921.8231399178799
455,1947.4316337899763
456,1978.1830905887286
457,1863.3999469493735
458,1838.085219296965
459,1899.7101347931016
460,1900.495842378725
461,1886.2716871452487
462,1912.473109801597
463,1805.0487687503482
464,1839.8754513480437
465,1851.7760309101423
466,1859.7168332856475
467,1912.0699833429687
468,1873.3974318142566
469,1929.0398828313084
470,1994.6735526334105
471,1838.4305361241627
472,1889.975391630249
473,1893.173991539976
474,1961.2603512285675
475,1897.8455058851305
476,1959.3717668318743
477,1854.0328243737918
478,1910.8203312794026
479,1888.6358108849845
480,1850.344348043079
481,1856.3157193841794
482,1931.6744023996023
483,1919.2393646351527
484,1896.9035822954284
485,1884.2124625189417
486,1909.3980529754938
487,1894.6886528125538
488,1974.331947452037
489,1955.4162710543178
490,1803.7822238613144
491,1920.658996960679
492,1935.707897549887
493,1951.4816016107916
494,1905.3180168328345
495,1851.4081360948387
496,1930.497874280402
497,1869.9265430965004
498,1842.7325248835193
499,1954.8673841817274
500,1887.6828229105963
501,1878.7493148898013
502,1975.3115455064028
503,1998.1804170127773
504,1828.3385182344873
505,1864.9412790902497
506,1910.40486458539
507,1866.429433230372
508,1884.4180486364723
509,1908.7038073911358
510,1870.1783605530218
511,1949.2920403332319
512,1889.9385997241964
513,1834.9737632311512
514,1863.7082652812464
515,1895.88170453667
516,1909.4535968606535
517,1935.9943781281486
518,1917.5766975579904
519,1950.4247642759642
520,1946.555525446777
521,1890.0663321562438
522,1936.1060971588076
523,1964.332405560328
524,1860.5698139030874
525,1948.311888873169
526,1933.0817249711347
527,1915.3215123933614
528,1883.6507018161321
529,1901.24104542325
530,1924.4624152561885
531,1923.1433438368954
532,1960.744507919513
533,1918.411691187058
534,1943.5517488066182
535,1879.8638005063203
536,1934.332719406423
537,1914.522229349099
538,1918.5679521761176
539,1871.313114133079
540,1895.2725636720577
541,1915.9393377688775
542,2006.9290518657128
543,1926.9862268809745
544,1875.1535510145402
545,1882.9183825727034
546,1921.173080193866
547,1956.4964602252462
548,1896.3925265157184
549,1849.1072185520636
550,1845.0781746805278
551,1929.5747962627647
552,1884.712284779589
553,1944.6473543641753
554,1918.6946945256973
555,1897.673623286536
556,1924.5579300095706
557,1943.3305638268437
558,1778.7603786169232
559,1940.662286605541
560,1950.6011192094195
561,1849.7591565098032
562,1897.0776587048667
563,1756.5379165934282
564,1915.1472549950868
565,1837.192169299768
566,1882.6649225846515
567,1834.4549661813837
568,1906.0637273497587
569,1868.7505463588939
570,1841.5504715917116
571,1927.8350318266846
572,1885.6989077437229
573,1921.3885889847645
574,1935.33881472535
575,1920.217895588031
576,1897.1355682777696
577,1924.6617080797914
578,1935.8033414681631
579,1969.4227297063528
580,1910.6361438417962
581,1917.5239840280242
582,1895.149777039491
583,1916.4536364173712
584,1868.5221610552537
585,1891.0187242332963
586,1898.642210578161
587,1861.2428778519732
588,1870.689417502281
589,1880.3638339105428
590,1874.86156451216
591,1885.4833567201842
592,1866.4404949581717
593,1878.5504953243267
594,1876.3068534743888
595,1892.5024257293178
596,1948.409332683249
597,1792.9459838341488
598,1862.8136844497392
599,1860.5884710917383
600,1850.011332778867
601,1818.6647644576356
602,1931.0469835860863
603,1851.0666014463948
604,1859.7350643161121
605,1906.1788856091198
606,1897.488297637525
607,1956.0287204841075
608,1900.6849739508193
609,1954.923314722723
610,1939.3329313272343
611,1899.028593206728
612,1839.4409988393713
613,1946.5442470054268
614,1911.3706417329547
615,1887.6316061595398
616,1860.0321817754111
617,1965.9315211327291
618,1935.0589332287445
619,1950.3585253588046
620,1882.0045206540092
621,1876.627988501288
622,1983.3766205480194
623,1934.822032289121
624,1903.3677521197646
625,1890.045471727693
626,1897.2204828597644
627,1943.4805667775424
628,1968.4655739407374
629,1903.7055969303808
630,1883.463046944947
631,1927.8960940210616
632,1963.6884107194364
633,1886.8111058217564
634,1898.2417760049036
635,1937.863064507147
