,cost
0,6699.8388438643415
1,6723.166660629613
2,6719.8089132914765
3,6731.656725642979
4,6692.5925057869035
5,6717.399337447879
6,6707.702923611576
7,6745.878678799803
8,6713.205014048101
9,6752.064075704881
10,6742.623029211625
11,6704.029746994948
12,6740.812150472043
13,6711.868124783941
14,6719.2312191080055
15,6721.851590199093
16,6731.526236482505
17,6727.168706342924
18,6723.059628134232
19,6747.993122847397
20,6721.610958770393
21,6742.641878138657
22,6710.422909137315
23,6703.10203358167
24,6733.7147322509745
25,6689.639571345589
26,6691.974860386319
27,6737.762516160418
28,6721.561436239472
29,6708.934427501794
30,6710.996254641036
31,6704.781832783775
32,6699.353150788196
33,6705.256074032449
34,6715.455061522746
35,6690.322347953577
36,6700.501111952198
37,6731.4068574483845
38,6719.995951801736
39,6728.072175704712
40,6712.071800851173
41,6739.967274289193
42,6723.51252306061
43,6720.0805096124295
44,6715.869732430156
45,6687.264505741443
46,6723.196458288278
47,6743.339955170187
48,6706.087188744563
49,6696.120807892472
50,6709.515641579692
51,6712.11543770461
52,6719.534043990812
53,6712.971411749229
54,6730.215464932171
55,6701.361365069692
56,6734.041542005484
57,6689.690476023149
58,6746.620424461505
59,6710.955472580648
60,6720.527941184259
61,6750.0321844519995
62,6735.385519769928
63,6699.667632824047
64,6718.259430472606
65,6711.136838162618
66,6727.587740266213
67,6709.781792193233
68,6745.305166877566
69,6735.135497752431
70,6707.029945697429
71,6736.193871965956
72,6726.29778404807
73,6709.602031210406
74,6706.27976609576
75,6718.011942676729
76,6730.2078991288245
77,6713.873139015884
78,6724.60627397648
79,6737.3971039878625
80,6727.8479427893135
81,6720.0717460434425
82,6709.95136696538
83,6702.469101548638
84,6726.339432946938
85,6709.19941242119
86,6713.761464323219
87,6724.757337255517
88,6718.399196431217
89,6704.297437896313
90,6697.325292381566
91,6719.24734194709
92,6720.049977231276
93,6717.106314018704
94,6688.884141537402
95,6720.708812727484
96,6719.742722899848
97,6696.9672623639235
98,6713.4419485917015
99,6715.114387582132
100,6722.0769952192395
101,6703.790075321914
102,6718.004376882751
103,6727.598822958419
104,6726.174907286028
105,6727.72199167413
106,6707.005783328246
107,6706.1182949838385
108,6706.885634619019
109,6721.530399835163
110,6747.576279774023
111,6705.006276540936
112,6733.766154569458
113,6721.112191262489
114,6734.397757505123
115,6731.550722491905
116,6724.9911937039915
117,6706.223449032133
118,6707.45194183579
119,6724.96597809807
120,6718.999706752093
121,6725.694690111169
122,6724.5283984871385
123,6707.667873667116
124,6720.635256773368
125,6710.555633569135
126,6701.9302395624545
127,6709.176806676427
128,6723.977491749381
129,6729.732389301622
130,6720.351118576871
131,6729.815896658461
132,6734.4148053230365
133,6724.615984151111
134,6741.746465173034
135,6744.2506312100295
136,6702.242788321139
137,6733.213868052958
138,6716.865950400804
139,6718.516105302826
140,6726.7156689408475
141,6727.958355297511
142,6721.541608589801
143,6734.570117760058
144,6735.675034868832
145,6709.326998673148
146,6731.264166822382
147,6731.8396081400015
148,6701.998440637001
149,6714.571499400238
150,6703.312896051373
151,6741.676047630824
152,6698.9796158989275
153,6702.9696155795045
154,6707.8323445081605
155,6714.872744122942
156,6705.179249641934
157,6711.311640717963
158,6719.282447728786
159,6703.187158134598
160,6723.46558912605
161,6711.733468880482
162,6702.526453847917
163,6737.223571153013
164,6725.105463778909
165,6749.269183581857
166,6695.837524389371
167,6688.699133526078
168,6703.368575368685
169,6717.373962771077
170,6700.0986672721265
171,6726.470238464374
172,6730.649030465042
173,6715.021808297659
174,6705.934773657216
175,6737.339425010288
176,6695.812876400006
177,6716.876077926036
178,6728.4571262193795
179,6719.555132190257
180,6732.71574677268
181,6728.298963117241
182,6726.418628680995
183,6720.378889765672
184,6727.843105786303
