,uset,omega,sigma,nom,wc
0,2,1,0.0,6685.540018141449,6685.539094031943
1,2,1,0.05,6699.526875149424,6827.566127834447
2,2,1,0.1,6718.630001530339,6980.234242266419
3,2,1,0.15,6742.46360339271,7140.874077383117
4,2,1,0.2,6768.754592196081,7303.952739063598
5,2,1,0.25,6796.489362505954,
6,2,2,0.0,6685.539317417715,6685.539094031943
7,2,2,0.05,6718.632150330633,6980.234242266419
8,2,2,0.1,6768.756170086781,7303.952739063598
9,2,2,0.15,6825.9133519379275,
10,2,2,0.2,6893.498234709762,
11,2,2,0.25,6976.320620857714,
12,2,3,0.0,6685.539430138211,6685.539094031943
13,2,3,0.05,6742.463070283763,7140.87407758434
14,2,3,0.1,6825.912934041413,
15,2,3,0.15,6932.616540585168,
16,2,3,0.2,7077.1643458829785,
17,2,3,0.25,7296.473379345001,
