,cost
0,6754.668905437262
1,6629.884252991307
2,6710.326891471709
3,6831.11674188289
4,6648.018413382922
5,6739.240454075035
6,6987.946240911908
7,6766.34259534299
8,6848.323897887638
9,6603.447128382039
10,6557.065780776545
11,6703.048952321079
12,6773.899176566673
13,6593.59360123923
14,6643.695860473238
15,6713.0013980924305
16,6824.023092410419
17,6678.249328908623
18,6795.067323976216
19,6782.414417589204
20,6769.938813556892
21,6629.838049640567
22,6679.9504492649
23,6682.727741718189
24,6824.918466662834
25,6569.779391374246
26,6791.585768841579
27,6600.400098870947
28,6887.68557468138
29,6767.129885981938
30,6837.377746226437
31,6875.936672756867
32,6683.488789803085
33,6758.590892263799
34,6761.39968857773
35,6823.583085844763
36,6771.909580606477
37,6855.336482684777
38,6713.701084444528
39,6627.965561771753
40,6675.713171358619
41,6508.615213728114
42,6759.010447712732
43,6680.839247888897
44,6731.0005525100305
45,6685.064669680202
46,6758.463462912311
47,6669.340419653189
48,6828.792429213498
49,6746.550817633104
50,6812.033772382877
51,6582.6262358039185
52,6835.112826481801
53,6731.179310754298
54,6926.620234127413
55,6780.323345587403
56,6713.594651619001
57,6726.834175593855
58,6700.005203795976
59,6882.862298474507
60,6992.731967704469
61,6805.833127059806
62,6823.454206405636
63,6716.906770130676
64,6856.109153702478
65,6706.620690304051
66,6763.509996097406
67,6708.080657190334
68,6681.234477335142
69,6783.627912749063
70,6893.189272438877
71,6771.171629706079
72,6697.018402650718
73,6591.952368118007
74,6684.588521556435
75,6764.844226382181
76,6805.951632365567
77,6713.836093910541
78,6776.308026213626
79,6584.668509556424
80,6832.844469122393
81,6653.900857701594
82,6830.655649102026
83,6701.9596678014495
84,6753.556437817502
85,6805.152143884315
86,6578.397757546462
87,6724.042768249142
88,6791.372800056069
89,6826.953510022876
90,6735.388417297014
91,6536.787014547466
92,6921.186896889181
93,6692.761045367376
94,6680.194609305196
95,6795.091760644114
96,6750.996340489036
97,6643.544331706179
98,6805.733338514941
99,6649.285981030673
100,6731.923512554344
101,6564.276287642131
102,6641.204683920632
103,6842.065480684914
104,6725.286350542773
105,6770.169619089961
106,6694.028524217719
107,6621.673658046463
108,6831.7311958303035
109,6457.562328151215
110,6838.6484200217865
111,6803.116446838363
112,6697.757307873645
113,6624.971718362811
114,6708.600337321956
115,6556.390467141121
116,6649.167946168145
117,6493.885238466754
118,6705.924201468224
119,6734.6928049075195
120,6735.4568803797865
121,6688.0647284703955
122,6696.69834330943
123,6835.389010749188
124,6685.621774627001
125,6835.244340158682
126,6787.139846171056
127,6750.22371949641
128,6704.111410443145
129,6811.336104710133
130,6864.338205174808
131,6637.895609631625
132,6738.899246780445
133,6658.365772435244
134,6635.465587124951
135,6759.915488381044
136,6845.065308339574
137,6812.988911524679
138,6618.46867940302
139,6624.897107993865
140,6759.814661792112
141,6756.947973750374
142,6594.338319273189
143,6806.36670955274
144,7011.158317830889
145,6835.3234510499215
146,6629.267282692012
147,6659.334688977966
148,6753.289628560622
149,6792.800078266264
150,6773.4702313615435
151,6808.288268068377
152,6702.296977840562
153,6602.917961558453
154,6781.757463536162
155,6726.665495857664
156,6644.107920095957
157,6884.13437940275
158,6802.506681756787
159,6820.010172025995
160,6799.37987973208
161,6583.296397304027
162,6792.256218807607
163,6758.497855644169
164,6933.608889871002
165,6747.971412811272
166,6760.86328129481
167,6850.801861463232
168,6793.144450099532
169,6807.479313344941
170,6681.194541169891
171,6748.56485761915
172,6791.9991830246945
173,6777.606820390351
174,6675.306208614732
175,6787.0364248998085
176,6803.758182533443
177,6761.964942412928
178,6680.812695639601
179,6821.116155879941
180,6752.115922278274
181,6857.096740831674
182,6862.622779219118
183,6713.187843766119
184,6843.178106166279
185,6696.087007113759
186,6506.974421471109
187,6713.451505520375
188,6819.182305753236
189,6800.696218791569
190,6849.106834574892
191,6749.464193086511
192,6812.409795663812
193,6758.066141693877
194,6682.698290570363
195,6589.03332863236
196,6867.980464074523
197,6833.638444897561
198,6683.582924083098
199,6699.147661258618
200,6936.523579417066
201,6760.318510747839
202,6743.016244777893
203,6730.730985195675
204,6622.620416957432
205,6606.518079252364
206,6755.244434646317
207,6738.264566935301
208,6810.420291897892
209,6524.270634114431
210,6740.862046216703
211,6755.283549259475
212,6647.078523030154
213,6817.082107943355
214,6721.413649782264
215,6791.961763473137
216,6607.932150315343
217,6744.838805191437
218,6882.807223727809
219,6725.146172906837
220,6758.480873765123
221,6658.125879352249
222,6713.327581827192
223,6720.134292697595
224,6716.667901899581
225,6669.891347508089
226,6645.135031835009
227,6627.317385485
228,6879.844513003076
229,6768.646892064521
230,6721.260355240706
231,6595.198218820773
232,6705.446791830394
233,6645.3533501576
234,6558.288833000096
235,6614.374599974294
236,6651.568397785482
237,6779.079567366943
238,6793.442057169451
239,6811.349672116103
240,6877.912627896316
241,6808.203579676525
242,6675.590425966577
243,6664.738010505042
244,6826.4758371976595
245,6624.330995924824
246,6823.472064533773
247,6772.0050649657505
248,6637.002005396575
249,6820.85699994824
250,6892.420533544594
251,6660.697727570837
252,6947.464555242134
253,6650.091652210202
254,6656.944676828952
255,6695.797561317238
256,6779.991283197289
257,6823.366840634689
258,6757.633411966984
259,6695.788278226292
260,6629.436108715528
261,6773.108760628236
262,6860.024218199493
263,6753.182841478363
264,6794.086881051174
265,6674.036106217317
266,6870.066040516849
267,6659.424762326253
268,6582.278400858981
269,6821.215797556594
270,6797.920919747919
271,6786.055215638093
272,6854.415588717526
273,6689.276357451446
274,6748.498727331574
275,6709.467127285101
276,6720.795080007189
277,6684.713864021941
278,6702.815320420558
279,6791.598250417745
280,6766.279347570519
281,6613.54651129372
282,6674.1346428868355
283,6689.563379093625
284,6793.548675295502
285,6677.297919423151
286,6805.392929566828
287,6803.636342044904
288,6623.883304508592
289,6797.553935497346
290,6805.353262715609
291,6849.992738569571
292,6878.241379498174
293,6775.310950487886
294,6819.263527695088
295,6597.673078740602
296,6733.299185965195
297,6827.855071776699
298,6779.229427322589
299,6859.8347787512375
300,6734.707813845599
301,6697.571262076166
302,6541.962268025303
303,6749.616442678598
304,6822.866315106173
305,6787.714595691716
306,6812.0486610837315
307,6832.340905284696
308,6832.66139243095
309,6836.342760947766
310,6772.481798372734
311,6724.164694209577
312,6697.522950894057
313,6657.108917919451
314,6816.893707559516
315,6784.3650053587735
316,6833.420476008244
317,6774.227803472407
318,6794.3772759710955
319,6742.65504385588
320,6825.076713620241
321,6761.191860602032
322,6682.193268876059
323,6750.689335459794
324,6544.436597446729
325,6776.478138945416
326,6729.074868830456
327,6801.50202900643
328,6817.626238594898
329,6563.546717188954
330,6680.396177893219
331,6612.8552816830015
332,6787.175605283982
333,6763.662689294045
334,6673.872086315456
335,6655.312156482079
336,6628.527503476843
337,6633.474226219079
338,6823.07932544957
339,6543.315497229394
340,6790.067578622711
341,6602.650071691644
342,6669.3744315800295
343,6729.034124128473
344,6784.746201516737
345,6856.298153175104
346,6760.900749017732
347,6776.952341218531
348,6761.729545605957
349,6751.248512075139
350,6818.150555803886
351,6773.976953045861
352,6823.630414735381
353,6761.572647079001
354,6798.459790699008
355,6795.185583729941
356,6874.112244668736
357,6724.719264477454
358,6604.448098947416
359,6891.84356574405
360,6636.959863660408
361,6706.096636934503
362,6724.358552076462
363,6755.355777264689
364,6735.385071821358
365,6576.130586817142
366,6707.320082927056
367,6772.109371017337
368,6708.242339860991
369,6727.844040954574
370,6813.131701880042
371,6650.297470133783
372,6717.1820947436645
373,6641.831217603662
374,6683.480844766315
375,6780.721809296214
376,6754.552592164238
377,6916.083842910948
378,6841.672338655604
379,6804.230843230821
380,6810.799929898857
381,6531.311927533697
382,6614.587712167948
383,6781.686701288738
384,6707.312211750996
385,6788.576454854543
386,6785.616366575237
387,6623.219328602237
388,6841.500752653546
389,6782.5255908209465
390,6771.875055295459
391,6896.996034607124
392,6753.206778724488
393,6802.06239057619
394,6586.142643986097
395,6762.948009394846
396,6755.897062188009
397,6875.8889223679735
398,6760.202680064178
399,6613.393593698256
400,6834.136171196334
401,6765.888264053679
402,6827.206064885595
403,6828.111268697679
404,6779.6463225785055
405,6747.705155034382
406,6869.706497626708
407,6681.050970561764
408,6805.9234405824645
409,6737.561853485027
410,6774.739484756254
411,6706.462519425674
412,6795.418272337349
413,6866.392606399837
414,6801.395170962168
415,6696.241438999394
416,6794.476644555801
417,6837.518615155667
418,6828.568319114825
419,6847.014740320867
420,6618.800587552428
421,6789.478993323646
422,6672.935260400078
